1,PLAZA DE CRISTO REY,PROSPERIDAD;
2,PLAZA DE MANUEL BECERRA,AVENIDA DE REINA VICTORIA;
3,PUERTA DE TOLEDO,PLAZA DE SAN AMARO;
4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA;
5,PUERTA DEL SOL/SEVILLA,ESTACION DE CHAMARTIN;
6,PLAZA DE JACINTO BENAVENTE,ORCASITAS;
7,PLAZA DE ALONSO MARTINEZ,MANOTERAS;
8,PLAZA DE LEGAZPI,VALDEBERNARDO;
9,SEVILLA,HORTALEZA;
10,PLAZA DE CIBELES,PALOMERAS;
11,MARQUES DE VIANA,BARRIO BLANCO;
12,PLAZA DE CRISTO REY,PASEO MARQUES DE ZAFRA;
14,PLAZA DE CONDE DE CASAL,AVENIDA DE PIO XII;
15,PUERTA DEL SOL/SEVILLA,LA ELIPA;
16,MONCLOA,AVENIDA DE PIO XII;
17,PLAZA MAYOR,COLONIA PARQUE DE EUROPA;
18,PLAZA MAYOR,VILLAVERDE CRUCE;
19,PLAZA DE CATALUÑA,PLAZA DE LEGAZPI;
20,PUERTA DEL SOL/SEVILLA,PAVONES;
21,PASEO DEL PINTOR ROSALES,BARRIO EL SALVADOR;
22,PLAZA DE LEGAZPI,VILLAVERDE ALTO;
23,PLAZA MAYOR,EL ESPINILLO;
24,ATOCHA RENFE,POZO DEL TIO RAIMUNDO;
25,OPERA,CASA DE CAMPO;
26,PLAZA DE TIRSO DE MOLINA,DIEGO DE LEON;
27,GLORIETA DE EMBAJADORES,PLAZA DE CASTILLA;
28,PUERTA DE ALCALA,BARRIO DE CANILLEJAS;
29,AVENIDA DE FELIPE II,MANOTERAS;
30,AVENIDA DE FELIPE II,PAVONES;
31,PLAZA MAYOR,ALUCHE;
32,PLAZA DE JACINTO BENAVENTE,PAVONES;
33,PRINCIPE PIO,CASA DE CAMPO;
34,PLAZA DE CIBELES,LAS AGUILAS;
35,PLAZA MAYOR,CARABANCHEL ALTO;
36,ATOCHA,CAMPAMENTO;
37,GLORIETA DE CUATRO CAMINOS,PUENTE DE VALLECAS;
38,PLAZA DE MANUEL BECERRA,LAS ROSAS;
39,OPERA,COLONIA SAN IGNACIO DE LOYOLA;
40,TRIBUNAL,ALFONSO XIII;
41,ATOCHA,COLONIA MANZANARES;
42,PLAZA DE CASTILLA,BARRIO DE PEÑAGRANDE;
43,AVENIDA DE FELIPE II,ESTRECHO;
44,PLAZA DEL CALLAO,MARQUES DE VIANA;
45,PLAZA DE LEGAZPI,AVENIDA DE LA REINA VICTORIA;
46,SEVILLA,MONCLOA;
47,ATOCHA,CARABANCHEL ALTO;
48,PLAZA DE MANUEL BECERRA,BARRIO DE CANILLEJAS;
49,PLAZA DE CASTILLA,ARROYO DEL FRESNO;
50,PUERTA DEL SOL,AVENIDA DEL MANZANARES;
51,PUERTA DEL SOL,PLAZA DEL PERU;
52,PUERTA DEL SOL/SEVILLA,SANTAMARCA;
53,PUERTA DEL SOL/SEVILLA,ARTURO SORIA;
54,ATOCHA RENFE,CONGOSTO;
55,ATOCHA,BATAN;
56,DIEGO DE LEON,PUENTE DE VALLECAS;
57,ATOCHA RENFE,ALTO DEL ARENAL;
58,PUENTE VALLECAS,BARRIO DE SANTA EUGENIA;
59,ATOCHA RENFE,COLONIA SAN CRISTOBAL DE LOS ANGELES;
60,PLAZA DE LA CEBADA,ORCASITAS;
61,MONCLOA,NARVAEZ;
62,PRINCIPE PIO,LOS PUERTOS;
63,AVENIDA DE FELIPE II,BARRIO DE SANTA EUGENIA;
64,GLORIETA DE CUATRO CAMINOS,ARROYO DEL FRESNO;
65,PLAZA DE JACINTO BENAVENTE,COLONIA GRAN CAPITAN;
66,GLORIETA DE CUATRO CAMINOS,FUENCARRAL;
67,PLAZA DE CASTILLA,BARRIO DE PEÑAGRANDE;
C1,SENTIDO 1,SENTIDO 2;
C2,SENTIDO 1,SENTIDO 2;
70,PLAZA DE CASTILLA,ALSACIA;
71,PLAZA DE MANUEL BECERRA,PUERTA DE ARGANDA;
72,DIEGO DE LEON,HORTALEZA;
73,DIEGO DE LEON,CANILLAS;
74,PASEO DEL PINTOR ROSALES,PARQUE DE LAS AVENIDAS;
75,PLAZA DEL CALLAO,COLONIA MANZANARES;
76,PLAZA BEATA MARIA ANA DE JESUS,VILLAVERDE ALTO;
77,PLAZA DE CIUDAD LINEAL,COLONIA FIN DE SEMANA;
78,GLORIETA DE EMBAJADORES,BARRIO DE SAN FERMIN;
79,PLAZA DE LEGAZPI,VILLAVERDE ALTO;
81,OPORTO,HOSPITAL 12 DE OCTUBRE;
82,MONCLOA,BARRIO DE PEÑAGRANDE;
83,MONCLOA,BARRIO DEL PILAR;
85,ATOCHA RENFE,BARRIO LOS ROSALES;
86,ATOCHA RENFE,VILLAVERDE ALTO;
87,PLAZA DE LA REPUBLICA DOMINICANA,LAS CARCAVAS;
E,PLAZA DEL CONDE DE CASAL,SIERRA DE GUADALUPE;
F,GLORIETA DE CUATRO CAMINOS,CIUDAD UNIVERSITARIA;
G,MONCLOA,CIUDAD UNIVERSITARIA;
A,MONCLOA,CAMPUS SOMOSAGUAS;
H,ALUCHE,CAMPUS DE SOMOSAGUAS;
U,AVENIDA DE SENECA,PARANINFO;
100,MORATALAZ,VALDERRIVAS;
101,CANILLEJAS,AEROPUERTO-BARAJAS;
102,ATOCHA RENFE,ESTACION EL POZO;
103,ESTACION EL POZO,ECOBULEVAR;
104,PLAZA DE CIUDAD LINEAL,MAR DE CRISTAL;
105,PLAZA DE CIUDAD LINEAL,BARAJAS;
